symbol,market_type,side,timeframe,regime_ok,mtf_ok,adx_min_cfg,atr_min_pct_cfg,bb_bw_min_pct_cfg,chop_max_cfg,don_len_cfg,breakout_buffer_pct_cfg,volume_mult_cfg,rsi_long_cfg,rsi_short_cfg,mtf_confirm_cfg,adx,atr_pct,bb_bw_pct,chop,rsi,rvol,don_ok,rsi_ok,pchg,pchg_ok,signal_now,ts
FARTCOIN/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,46.16240130498154,0.25509858618740594,0.6824322359355453,57.646744837696815,41.00416008124539,1.4879790789739744,False,False,-0.006166797180892636,False,False,2025-08-11T11:03:04.852459+00:00
VVV/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,48.72653364012341,0.15355331367718295,0.9750193532730058,33.2720895904888,17.777772246915177,3.346558084483671,False,False,-0.008216364258815445,False,False,2025-08-11T11:03:05.104629+00:00
OM/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,45.49853815735978,0.2003471616243664,0.5055051723835955,60.23988675786584,49.999824121221685,0.6142310647099332,False,False,-0.0009100136502049327,False,False,2025-08-11T11:03:05.363164+00:00
ALCX/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,55.08795107555132,0.1774195404039311,1.387729861789048,37.16589412457745,34.61538275147916,0.20105549512450865,False,False,-0.0019230769230769162,False,False,2025-08-11T11:03:05.474133+00:00
M/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,43.71522710789665,0.30931842072401994,1.680349979138222,43.21908717054714,49.206294532688695,0.26555804582350484,False,False,-0.005714285714285672,False,False,2025-08-11T11:03:05.737673+00:00
SYRUP/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,48.58884952288203,0.10566059673211313,0.41897728510110155,39.014666548804726,34.6937784259397,0.5160057849633565,False,False,-0.004905808477237206,False,False,2025-08-11T11:03:05.993994+00:00
JUV/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,60.88762340477917,0.35262517451473735,2.5717393388784764,39.463101583321645,70.83331267361714,1.8710911864208164,False,True,-0.004847645429362779,False,False,2025-08-11T11:03:06.164896+00:00
SYRUP/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,45.68040068051784,0.14860136442308405,0.44769860081020074,45.36331776358675,33.91803609112908,0.4982544337382769,False,False,-0.005299937185929693,False,False,2025-08-11T11:03:06.417868+00:00
BCH/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,60.53738439423901,0.1206442275824745,0.7175710402576059,39.408697671363406,69.84126968606716,0.9872940939888688,False,True,0.0015243902439023849,False,False,2025-08-11T11:03:06.673409+00:00
LTC/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,68.76493773095733,0.16187066028641048,0.7492760759421869,53.62831197757603,62.36559092843087,2.259679243155329,False,True,0.0021489971346704273,False,False,2025-08-11T11:03:06.937720+00:00
BCH/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,59.024831373907425,0.13066759948108647,0.7090842588919152,41.93653559284466,67.79911359687043,1.4841401136405092,False,True,0.001626098887138605,False,False,2025-08-11T11:03:07.192623+00:00
LTC/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,63.07533113701302,0.16748854037581665,0.7510244485502025,53.17325553738092,62.63736215553704,1.690559295661291,False,True,0.0021496815286625726,False,False,2025-08-11T11:03:07.445593+00:00
TIA/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,63.5825907419554,0.13875714120536647,0.7003720726635984,32.77675811660833,29.166649652787896,2.5535784965436568,False,False,-0.004376367614879695,False,False,2025-08-11T11:03:07.701743+00:00
TIA/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,52.52432409885245,0.14117535559254057,0.7304467066925929,35.36186135488946,26.81816475207704,2.4102413830994616,False,False,-0.004434225652816592,False,False,2025-08-11T11:03:07.959282+00:00
VIRTUAL/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,52.50709655221008,0.14300763940392636,0.5000373036070199,50.73772484556169,43.2291351454221,0.8590526390878104,False,False,-0.0017686593562079578,False,False,2025-08-11T11:03:08.209715+00:00
HEI/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,54.42400758125394,0.246762046734238,0.6278088580046155,47.73979034581693,58.33319722253966,2.2616312472923297,False,True,0.0021951706246257086,False,False,2025-08-11T11:03:08.460040+00:00
VIRTUAL/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,54.32163786245767,0.13227136493935146,0.5029579098263885,49.11387295684642,44.27857612437486,0.49984016367227163,False,False,-0.0019092066185828482,False,False,2025-08-11T11:03:08.712624+00:00
XLM/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,48.23449240802196,0.1623370293096774,0.344698057759022,56.28469101808661,43.33323222245849,1.333559217618947,False,False,-0.0022079929344226423,False,False,2025-08-11T11:03:08.965129+00:00
UNI/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,55.15642796425312,0.09937959849810572,0.7139487606562683,41.421336726430354,30.833329736110926,6.423129018325995,False,False,-0.0002742230347348995,False,False,2025-08-11T11:03:09.214989+00:00
XLM/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,44.720718760858055,0.18152715149689555,0.3636893341513775,58.59591449998626,42.96744952947538,1.927075794500643,False,False,-0.0021211250800946546,False,False,2025-08-11T11:03:09.468147+00:00
UNI/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,60.15613404509689,0.11401191765530742,0.711920489518584,46.55698090103412,31.404955044054873,3.669872300173188,False,False,-0.00036559729458018886,False,False,2025-08-11T11:03:09.720926+00:00
KAITO/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,45.100704863826095,0.16509384351400758,0.49186330469568673,51.117607457179446,47.86726681792695,1.2750923958906815,False,False,-0.00016337199803950764,False,False,2025-08-11T11:03:09.971344+00:00
LA/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,62.68140387855351,0.21203708816592196,0.9409824488466733,41.628966386579926,27.272657851416838,1.6953776530967675,False,False,-0.00586101032654196,False,False,2025-08-11T11:03:10.224086+00:00
RAY/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,65.36177415869393,0.08862375601814872,0.3324569480554693,57.68827066998257,38.88887376543812,1.124365182470475,False,False,-0.0018253726802555104,False,False,2025-08-11T11:03:10.474583+00:00
OP/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,74.7599232612375,0.18238183603254976,1.3493380305973353,26.264953503719354,23.076898224878832,0.9900962947515417,False,False,-0.0025510204081632404,False,False,2025-08-11T11:03:10.743342+00:00
RAYSOL/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,59.53901807298466,0.11908246855872064,0.37868130305959513,57.98239104578404,40.94486684440553,1.3395760176869087,False,False,-0.001734790151261545,False,False,2025-08-11T11:03:10.995903+00:00
METIS/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,49.320722220323184,0.19701650571114027,0.7550099974147182,43.175806391234374,38.235292543252385,1.008024740723517,False,False,-0.005452562704471142,False,False,2025-08-11T11:03:11.262215+00:00
PNUT/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,58.9347731025591,0.18112291408575598,0.7579561850229041,39.35421553664588,34.13320590269828,1.389616340718117,False,False,-0.004567828312660005,False,False,2025-08-11T11:03:11.516398+00:00
PENGU/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,42.18926217685023,0.18220150703605922,0.47959834085779746,55.19822998959427,47.67737949408362,0.8406425391809408,False,False,-0.0019518377693282796,False,False,2025-08-11T11:03:11.777890+00:00
OP/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,66.3087421735178,0.16091484985123564,1.4248992512688736,27.722530055624564,22.377600469482374,0.8110582811150757,False,False,-0.003698507843387322,False,False,2025-08-11T11:03:12.044849+00:00
RUNE/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,40.412363101052776,0.0786267147391166,0.3195262903401551,56.14143066532917,45.45448760337997,6.555371495175709,False,False,-0.001386001386001423,False,False,2025-08-11T11:03:12.303338+00:00
COW/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,61.82291125480949,0.15700475201098443,0.6888891145816598,52.19006331089891,34.482675386645184,1.9160004329873996,False,False,-0.003130267276667542,False,False,2025-08-11T11:03:12.563911+00:00
ZORA/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,49.16320883128823,0.3981638404138707,0.6727709270930706,64.16057094231263,40.09873198898659,0.9475934539791383,False,True,-0.0019047619047618536,False,False,2025-08-11T11:03:16.450871+00:00
ZRO/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,69.88983996873108,0.48862575515157813,2.307930635062714,50.405750869006866,57.26871363698247,0.5564401934689135,False,False,-0.0026517738760095666,False,False,2025-08-11T11:03:16.719807+00:00
AVAAI/USDT:USDT,,,1m,True,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,73.7252525763711,0.49156984645498997,2.3502849669497032,41.628966386579556,15.094140266072017,0.8769939403313333,False,True,-0.013636363636363447,False,False,2025-08-11T11:03:16.974165+00:00
STG/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,58.89069203028638,0.34961459290768576,2.0236375220656635,45.51877025359348,52.857037143068446,0.5053647737536525,False,False,-0.007049345417925568,False,False,2025-08-11T11:03:17.225214+00:00
BIO/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,44.45523653309601,0.8665532646182339,3.6446209483813488,48.746126600566754,34.654531691569176,1.2027514983951886,False,True,-0.009534986064251072,False,False,2025-08-11T11:03:17.480039+00:00
